Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Helmet_Worn,Seatbelt_Worn,Driver_Age,Driver_Gender,Number_of_Passengers,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,License_Type,Issuing_Agency,License_Validity,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments
VLT000017,Red Light Violation,3383,Telangana,2020-01-03,11:37:17,Motorcycle,Other,2006,Bihar,Yes,NA,57,Male,1,6,Rainy,Wet,OFF2518,Permanent,RTO Enforcement,Valid,Red,49,121,0.0,Not Applied,No,No,Pending,No,17,Repeat Offender
VLT000018,Mobile Phone Usage,4776,Madhya Pradesh,2020-01-03,05:05:24,E-Rickshaw,Green,1992,Himachal Pradesh,NA,NA,42,Male,2,6,Clear,Dry,OFF7902,Commercial,Special Task Force,Valid,Green,32,20,0.0,Not Applied,No,No,Pending,No,19,Warning Issued
VLT000019,Red Light Violation,3383,Tamil Nadu,2020-01-04,19:52:51,Pickup,White,1996,Sikkim,NA,Yes,41,Male,3,6,Clear,Under Construction,OFF1039,Commercial,Special Task Force,Cancelled,Yellow,109,127,0.0,Not Applied,No,No,Pending,No,11,Fine Paid On Spot
VLT000020,Overspeeding,3662,Maharashtra,2020-01-04,00:08:59,Car,Yellow,1992,Manipur,NA,No,24,Other,2,6,Rainy,Potholes,OFF5430,Learner,Special Task Force,Expired,Yellow,120,169,0.0,Not Applied,No,No,Pending,No,11,Warning Issued
VLT000021,Mobile Phone Usage,4776,Daman & Diu,2020-01-04,19:48:50,Pickup,Green,2004,West Bengal,NA,Yes,53,Male,3,1,Clear,Dry,OFF3362,Permanent,Highway Patrol,Valid,Green,71,41,0.02,Negative,No,No,Pending,No,7,Repeat Offender
VLT000022,Overloading,3057,Andhra Pradesh,2020-01-04,22:38:07,E-Rickshaw,Red,1999,Tamil Nadu,NA,NA,49,Male,2,8,Windy,Potholes,OFF5971,Permanent,City Traffic Police,Valid,Red,89,182,0.02,Negative,No,Yes,Online,No,20,Repeat Offender
VLT000023,Driving Without License,4922,West Bengal,2020-01-05,14:03:28,Bus,Silver,1991,Karnataka,NA,Yes,58,Male,37,2,Clear,Wet,OFF5240,Permanent,RTO Enforcement,Suspended,Red,84,122,0.0,Not Applied,Yes,Yes,Online,Yes,7,First Violation
VLT000024,No Parking,1211,West Bengal,2020-01-05,16:09:42,Car,Grey,1998,Andhra Pradesh,NA,No,55,Male,2,3,Rainy,Under Construction,OFF4418,Learner,RTO Enforcement,Valid,Yellow,68,9,0.0,Not Applied,Yes,Yes,Online,No,0,First Violation
VLT000025,Driving Without License,4922,Andaman & Nicobar,2020-01-06,19:15:22,Pickup,Silver,2020,Telangana,NA,Yes,65,Female,3,6,Windy,Dry,OFF5004,Permanent,City Traffic Police,Suspended,Yellow,66,82,0.0,Not Applied,Yes,No,Pending,Yes,3,Warning Issued
VLT000026,Illegal U Turn,564,Tamil Nadu,2020-01-06,18:46:17,Van,Orange,2008,Uttar Pradesh,NA,Yes,49,Male,7,2,Rainy,Wet,OFF3329,Permanent,RTO Enforcement,Cancelled,Red,103,2,0.02,Negative,No,Yes,Online,No,19,Repeat Offender
VLT000027,Mobile Phone Usage,4776,Gujarat,2020-01-06,04:33:03,Truck,Other,2002,Madhya Pradesh,NA,Yes,36,Male,3,8,Rainy,Dry,OFF6459,Permanent,Special Task Force,Expired,Yellow,99,97,0.0,Not Applied,No,No,Pending,No,19,First Violation
VLT000028,Mobile Phone Usage,4776,Telangana,2020-01-06,00:28:01,Car,White,1995,Telangana,NA,No,34,Male,2,6,Windy,Under Construction,OFF1830,Permanent,RTO Enforcement,Expired,Red,102,172,0.02,Negative,No,No,Pending,No,16,Warning Issued
VLT000029,Drunk Driving,1248,Telangana,2020-01-06,19:37:54,Bus,Silver,2019,Manipur,NA,Yes,23,Female,37,0,Windy,Wet,OFF1682,Commercial,Highway Patrol,Expired,Yellow,113,157,0.02,Negative,No,No,Pending,Yes,15,First Violation
VLT000030,Wrong Lane,2617,Uttar Pradesh,2020-01-06,03:42:39,Car,Black,1996,Tamil Nadu,NA,No,32,Female,2,4,Clear,Under Construction,OFF5180,Learner,Special Task Force,Expired,Yellow,76,124,0.02,Negative,No,No,Pending,No,19,Warning Issued
VLT000031,Red Light Violation,3383,Delhi,2020-01-06,05:30:35,Auto-Rickshaw,Red,2007,Dadra & Nagar Haveli,NA,NA,45,Male,0,5,Foggy,Dry,OFF4210,Permanent,City Traffic Police,Expired,Green,88,113,0.0,Not Applied,No,No,Pending,No,2,First Violation
VLT000032,Mobile Phone Usage,4776,Uttar Pradesh,2020-01-06,10:40:10,Truck,Yellow,2009,Sikkim,NA,Yes,78,Other,3,8,Clear,Wet,OFF8759,Learner,Highway Patrol,Expired,Red,59,81,0.0,Not Applied,No,Yes,Online,No,8,First Violation
VLT000033,Overspeeding,3662,Uttar Pradesh,2020-01-06,01:38:25,Car,Yellow,2007,Maharashtra,NA,No,44,Female,2,6,Windy,Dry,OFF4641,Learner,Special Task Force,Expired,Green,56,86,0.14,Positive,No,Yes,Online,No,15,Repeat Offender
VLT000034,Overspeeding,3662,Tamil Nadu,2020-01-07,19:17:50,Electric Scooter,Orange,1997,Bihar,No,NA,40,Male,0,7,Rainy,Wet,OFF3470,Permanent,City Traffic Police,Expired,Green,92,13,0.0,Not Applied,No,No,Pending,No,0,First Violation
VLT000035,Driving Without License,4922,Sikkim,2020-01-07,18:22:32,Car,Silver,1993,Jharkhand,NA,No,23,Other,2,7,Foggy,Gravel,OFF1104,Commercial,Special Task Force,Cancelled,Yellow,40,136,0.02,Negative,Yes,Yes,Online,Yes,10,Repeat Offender
VLT000036,Mobile Phone Usage,4776,Jharkhand,2020-01-07,15:42:48,E-Rickshaw,Yellow,1996,Madhya Pradesh,NA,NA,76,Other,2,1,Rainy,Potholes,OFF5078,Learner,Special Task Force,Valid,Yellow,88,132,0.0,Not Applied,No,No,Pending,No,1,Repeat Offender
VLT000037,Driving Without License,4922,Rajasthan,2020-01-07,16:46:51,Electric Scooter,Red,2010,Bihar,No,NA,21,Male,0,0,Foggy,Dry,OFF2518,Commercial,Special Task Force,Valid,Red,38,200,0.14,Positive,Yes,Yes,Online,Yes,19,Repeat Offender
VLT000038,Mobile Phone Usage,4776,Lakshadweep,2020-01-07,21:41:19,Truck,Blue,1997,Gujarat,NA,Yes,72,Female,3,8,Rainy,Wet,OFF9680,Permanent,RTO Enforcement,Valid,Green,33,108,0.0,Not Applied,No,Yes,Online,No,17,Warning Issued
VLT000039,Driving Without License,4922,Assam,2020-01-07,12:26:36,Pickup,Silver,2004,Karnataka,NA,Yes,72,Female,3,7,Windy,Potholes,OFF1126,Commercial,City Traffic Police,Valid,Yellow,59,121,0.0,Not Applied,Yes,Yes,Online,Yes,11,Fine Paid On Spot
VLT000040,Driving Without License,4922,Andhra Pradesh,2020-01-07,04:50:52,Electric Scooter,Green,1995,Tripura,No,NA,62,Male,0,5,Rainy,Wet,OFF3442,Permanent,RTO Enforcement,Valid,Yellow,67,119,0.14,Positive,Yes,No,Pending,Yes,19,Repeat Offender
VLT000041,No Parking,1211,Chandigarh,2020-01-07,08:14:16,Car,Blue,2004,Jammu & Kashmir,NA,No,20,Female,2,2,Clear,Under Construction,OFF1982,Permanent,Special Task Force,Valid,Yellow,118,47,0.0,Not Applied,Yes,Yes,Online,No,11,Repeat Offender
VLT000042,Driving Without License,4922,Tamil Nadu,2020-01-07,21:56:50,Van,Brown,2000,Andhra Pradesh,NA,Yes,44,Male,7,8,Foggy,Potholes,OFF2518,Commercial,Special Task Force,Valid,Yellow,48,173,0.0,Not Applied,Yes,No,Pending,Yes,0,First Violation
VLT000043,Driving Without License,4922,Delhi,2020-01-07,13:04:05,Truck,Other,2018,Bihar,NA,Yes,35,Female,3,3,Windy,Dry,OFF7569,Permanent,Special Task Force,Valid,Green,39,162,0.02,Negative,Yes,Yes,Online,Yes,0,First Violation
VLT000044,Overspeeding,3662,Telangana,2020-01-08,10:34:06,Truck,Blue,2018,Uttar Pradesh,NA,Yes,46,Male,3,7,Windy,Dry,OFF5015,Commercial,Highway Patrol,Expired,Green,35,122,0.0,Not Applied,No,No,Pending,No,8,First Violation
VLT000045,Overloading,3057,Rajasthan,2020-01-08,16:17:44,Pickup,Black,2020,Maharashtra,NA,Yes,19,Male,3,3,Clear,Wet,OFF7376,Commercial,Special Task Force,Valid,Red,115,177,0.0,Not Applied,No,No,Pending,No,0,Repeat Offender
VLT000046,Overspeeding,3662,Bihar,2020-01-08,03:13:25,Car,Blue,2006,Puducherry,NA,No,29,Female,2,0,Snowy,Dry,OFF4608,Commercial,City Traffic Police,Valid,Yellow,86,102,0.0,Not Applied,No,Yes,Online,No,19,First Violation
VLT000047,Overspeeding,3662,Sikkim,2020-01-08,13:46:02,Truck,Silver,1996,Rajasthan,NA,Yes,39,Other,3,3,Rainy,Gravel,OFF6446,Permanent,City Traffic Police,Expired,Red,109,49,0.0,Not Applied,No,Yes,Online,No,10,Fine Paid On Spot
VLT000048,No Parking,1211,Maharashtra,2020-01-08,03:47:30,Auto-Rickshaw,Grey,2018,Assam,NA,NA,43,Male,0,8,Snowy,Dry,OFF8644,Permanent,RTO Enforcement,Valid,Red,111,197,0.0,Not Applied,Yes,Yes,Online,No,15,Fine Paid On Spot
VLT000049,Mobile Phone Usage,4776,Delhi,2020-01-09,17:37:33,Truck,Other,2010,Karnataka,NA,Yes,22,Female,3,1,Snowy,Dry,OFF2480,Permanent,City Traffic Police,Cancelled,Red,80,166,0.0,Not Applied,No,No,Pending,No,11,Fine Paid On Spot
VLT000050,Mobile Phone Usage,4776,Chandigarh,2020-01-10,07:33:47,Van,Silver,2018,Bihar,NA,Yes,54,Male,7,1,Windy,Potholes,OFF5571,Permanent,Highway Patrol,Valid,Red,81,88,0.0,Not Applied,No,Yes,Online,No,12,Fine Paid On Spot
VLT000051,No Parking,1211,Assam,2020-01-10,11:06:57,Truck,White,1993,Chhattisgarh,NA,Yes,25,Male,3,0,Clear,Potholes,OFF3867,Permanent,RTO Enforcement,Cancelled,Green,82,189,0.0,Not Applied,Yes,No,Pending,No,7,First Violation
VLT000052,Illegal U Turn,564,Maharashtra,2020-01-10,23:44:12,Car,Red,1997,Chandigarh,NA,No,46,Male,2,1,Rainy,Potholes,OFF8033,Permanent,Special Task Force,Cancelled,Yellow,67,158,0.02,Negative,No,Yes,Online,No,2,First Violation
VLT000053,Driving Without License,4922,Maharashtra,2020-01-10,14:13:56,Pickup,Brown,2007,Haryana,NA,Yes,50,Male,3,7,Rainy,Wet,OFF4658,Commercial,City Traffic Police,Valid,Red,87,128,0.0,Not Applied,Yes,No,Pending,Yes,0,First Violation
VLT000054,No Parking,1211,Telangana,2020-01-10,04:51:37,Electric Scooter,Grey,2018,Andhra Pradesh,No,NA,48,Male,0,3,Clear,Dry,OFF1204,Commercial,RTO Enforcement,Valid,Red,53,158,0.02,Negative,Yes,No,Pending,No,4,Repeat Offender
VLT000055,Mobile Phone Usage,4776,Uttar Pradesh,2020-01-10,23:14:38,Van,Black,2003,Maharashtra,NA,Yes,33,Other,7,1,Clear,Potholes,OFF4706,Learner,Special Task Force,Cancelled,Yellow,35,15,0.02,Negative,No,No,Pending,No,10,First Violation
VLT000056,No Parking,1211,Andhra Pradesh,2020-01-11,22:40:52,E-Rickshaw,Other,2015,Tamil Nadu,NA,NA,32,Male,2,8,Rainy,Dry,OFF6864,Commercial,Special Task Force,Expired,Green,61,68,0.0,Not Applied,Yes,Yes,Online,No,19,First Violation
VLT000057,Overspeeding,3662,Gujarat,2020-01-11,00:45:06,Bus,Other,2007,Tamil Nadu,NA,Yes,33,Female,37,3,Rainy,Dry,OFF5964,Commercial,Special Task Force,Valid,Yellow,81,72,0.02,Negative,No,No,Pending,No,5,Warning Issued
VLT000058,Red Light Violation,3383,Bihar,2020-01-11,21:46:46,E-Rickshaw,Other,2000,Odisha,NA,NA,61,Male,2,8,Clear,Dry,OFF9077,Learner,RTO Enforcement,Cancelled,Green,59,80,0.0,Not Applied,No,No,Pending,No,16,Repeat Offender
VLT000059,No Parking,1211,Maharashtra,2020-01-11,05:26:29,Pickup,White,2005,Manipur,NA,Yes,72,Male,3,2,Clear,Dry,OFF6520,Permanent,RTO Enforcement,Valid,Red,25,58,0.0,Not Applied,Yes,No,Pending,No,13,Fine Paid On Spot
VLT000060,Red Light Violation,3383,Uttar Pradesh,2020-01-11,04:34:55,E-Rickshaw,Brown,2014,Goa,NA,NA,44,Other,2,7,Clear,Dry,OFF9603,Permanent,Highway Patrol,Expired,Yellow,92,134,0.14,Positive,No,Yes,Online,No,19,Repeat Offender
VLT000061,Overspeeding,3662,Maharashtra,2020-01-11,11:05:41,Motorcycle,Silver,1990,Andaman & Nicobar,Yes,NA,34,Male,1,1,Windy,Under Construction,OFF1964,Permanent,Highway Patrol,Valid,Green,77,34,0.0,Not Applied,No,Yes,Online,No,0,Warning Issued
VLT000062,Wrong Lane,2617,West Bengal,2020-01-11,18:39:18,Tractor,Red,1995,Sikkim,NA,NA,51,Other,0,7,Clear,Dry,OFF6514,Permanent,City Traffic Police,Suspended,Red,37,49,0.0,Not Applied,No,No,Pending,No,7,Fine Paid On Spot
VLT000063,Illegal U Turn,564,Karnataka,2020-01-11,15:51:09,Tractor,Other,2012,West Bengal,NA,NA,63,Male,0,7,Clear,Gravel,OFF7703,Permanent,Highway Patrol,Valid,Green,85,200,0.0,Not Applied,No,Yes,Online,No,12,Fine Paid On Spot
VLT000064,Driving Without License,4922,Telangana,2020-01-11,08:12:52,Tractor,White,2001,Uttarakhand,NA,NA,25,Male,0,0,Clear,Dry,OFF3239,Learner,City Traffic Police,Suspended,Yellow,36,91,0.02,Negative,Yes,No,Pending,Yes,6,Repeat Offender
VLT000065,Driving Without License,4922,Uttarakhand,2020-01-12,10:13:39,Pickup,Yellow,2005,Bihar,NA,Yes,29,Male,3,4,Windy,Dry,OFF4375,Permanent,RTO Enforcement,Expired,Yellow,93,116,0.0,Not Applied,Yes,Yes,Online,Yes,19,Warning Issued
VLT000066,Overloading,3057,Delhi,2020-01-12,04:37:01,Tractor,Silver,1995,Karnataka,NA,NA,76,Male,0,8,Clear,Dry,OFF3219,Commercial,Special Task Force,Valid,Red,92,74,0.0,Not Applied,No,No,Pending,No,17,Repeat Offender
VLT000067,Driving Without License,4922,Himachal Pradesh,2020-01-12,08:01:53,Bus,Orange,2004,Andhra Pradesh,NA,Yes,32,Male,37,0,Rainy,Potholes,OFF8292,Permanent,RTO Enforcement,Valid,Red,108,128,0.0,Not Applied,Yes,No,Pending,Yes,5,First Violation
VLT000068,Red Light Violation,3383,Daman & Diu,2020-01-12,01:31:07,Tractor,Blue,2000,Odisha,NA,NA,70,Female,0,2,Windy,Potholes,OFF6217,Permanent,RTO Enforcement,Valid,Red,76,179,0.0,Not Applied,No,Yes,Online,No,12,First Violation
VLT000069,Overspeeding,3662,Madhya Pradesh,2020-01-12,06:29:14,Bus,Green,1995,Karnataka,NA,Yes,61,Other,37,7,Rainy,Potholes,OFF9455,Permanent,Special Task Force,Valid,Yellow,105,12,0.0,Not Applied,No,Yes,Online,No,0,First Violation
VLT000070,Drunk Driving,1248,Uttar Pradesh,2020-01-12,11:40:52,Truck,Orange,1998,Mizoram,NA,Yes,60,Female,3,1,Clear,Wet,OFF3402,Permanent,Highway Patrol,Valid,Red,81,156,0.02,Negative,No,Yes,Online,Yes,0,Warning Issued
VLT000071,Overspeeding,3662,Uttar Pradesh,2020-01-12,14:09:44,Auto-Rickshaw,White,1990,Uttarakhand,NA,NA,44,Male,0,0,Rainy,Dry,OFF3832,Permanent,RTO Enforcement,Expired,Green,66,105,0.02,Negative,No,No,Pending,No,6,First Violation
VLT000072,Illegal U Turn,564,West Bengal,2020-01-12,09:20:30,Scooty,Green,2002,Meghalaya,No,NA,25,Male,0,4,Rainy,Dry,OFF6725,Commercial,Highway Patrol,Expired,Green,115,148,0.02,Negative,No,Yes,Online,No,2,First Violation
VLT000073,Red Light Violation,3383,Himachal Pradesh,2020-01-12,07:12:43,Van,Yellow,2016,Delhi,NA,Yes,48,Male,7,4,Clear,Dry,OFF3271,Commercial,City Traffic Police,Valid,Green,90,7,0.02,Negative,No,Yes,Online,No,13,First Violation
VLT000074,Overspeeding,3662,Uttar Pradesh,2020-01-13,07:09:18,Bus,Blue,1995,Arunachal Pradesh,NA,Yes,32,Male,37,8,Clear,Potholes,OFF5572,Permanent,Special Task Force,Suspended,Red,59,19,0.0,Not Applied,No,No,Pending,No,15,First Violation
VLT000075,Overspeeding,3662,Uttar Pradesh,2020-01-13,03:59:10,Pickup,Yellow,2015,Maharashtra,NA,Yes,48,Male,3,0,Windy,Dry,OFF3035,Commercial,Highway Patrol,Expired,Green,44,182,0.0,Not Applied,No,No,Pending,No,6,First Violation
VLT000076,Overspeeding,3662,Maharashtra,2020-01-13,02:17:15,Motorcycle,Yellow,1998,Kerala,Yes,NA,54,Other,1,2,Windy,Wet,OFF9524,Permanent,Highway Patrol,Valid,Green,101,122,0.0,Not Applied,No,No,Pending,No,13,Warning Issued
VLT000077,Driving Without License,4922,Gujarat,2020-01-13,02:47:22,Tractor,Other,2018,Kerala,NA,NA,20,Male,0,2,Clear,Potholes,OFF1905,Permanent,Highway Patrol,Expired,Yellow,92,108,0.02,Negative,Yes,Yes,Online,Yes,0,Repeat Offender
VLT000078,Mobile Phone Usage,4776,Jammu & Kashmir,2020-01-14,12:19:58,Car,Red,2003,Uttar Pradesh,NA,No,63,Male,2,2,Windy,Dry,OFF5197,Permanent,City Traffic Police,Cancelled,Yellow,102,9,0.0,Not Applied,No,No,Pending,No,4,First Violation
VLT000079,Drunk Driving,1248,Maharashtra,2020-01-14,10:48:34,E-Rickshaw,Silver,1999,West Bengal,NA,NA,72,Other,2,7,Foggy,Potholes,OFF8475,Learner,Special Task Force,Valid,Red,30,184,0.02,Negative,No,Yes,Online,Yes,0,Fine Paid On Spot
VLT000080,Overspeeding,3662,Sikkim,2020-01-14,14:50:23,Bus,Silver,2010,Odisha,NA,Yes,54,Other,37,5,Windy,Wet,OFF4707,Permanent,Highway Patrol,Expired,Red,97,59,0.0,Not Applied,No,No,Pending,No,7,First Violation
VLT000081,Wrong Lane,2617,Tripura,2020-01-15,11:59:48,Auto-Rickshaw,Red,2009,Madhya Pradesh,NA,NA,29,Male,0,3,Windy,Potholes,OFF3833,Permanent,Highway Patrol,Suspended,Red,76,73,0.02,Negative,No,Yes,Online,No,7,First Violation
VLT000082,No Parking,1211,Gujarat,2020-01-15,14:56:41,E-Rickshaw,White,2006,Rajasthan,NA,NA,25,Male,2,0,Rainy,Dry,OFF2196,Permanent,Special Task Force,Expired,Yellow,78,155,0.0,Not Applied,Yes,Yes,Online,No,6,First Violation
VLT000083,No Parking,1211,Bihar,2020-01-15,08:20:44,Bus,Grey,2009,Delhi,NA,Yes,52,Female,37,4,Windy,Wet,OFF5799,Commercial,City Traffic Police,Expired,Red,34,135,0.0,Not Applied,Yes,Yes,Online,No,18,Fine Paid On Spot
VLT000084,Driving Without License,4922,West Bengal,2020-01-15,19:50:54,Motorcycle,Silver,1990,Uttar Pradesh,Yes,NA,49,Male,1,4,Windy,Dry,OFF3639,Permanent,RTO Enforcement,Valid,Yellow,26,38,0.0,Not Applied,Yes,No,Pending,Yes,0,Warning Issued
VLT000085,Wrong Lane,2617,Dadra & Nagar Haveli,2020-01-15,20:06:43,Car,Green,2017,Maharashtra,NA,No,78,Female,2,5,Snowy,Dry,OFF3567,Commercial,Special Task Force,Suspended,Yellow,69,144,0.02,Negative,No,No,Pending,No,16,First Violation
VLT000086,Driving Without License,4922,Lakshadweep,2020-01-15,22:52:23,Pickup,Black,1992,Tamil Nadu,NA,Yes,63,Other,3,6,Clear,Gravel,OFF6873,Permanent,Highway Patrol,Valid,Red,51,191,0.0,Not Applied,Yes,Yes,Online,Yes,11,Warning Issued
VLT000087,Overspeeding,3662,Rajasthan,2020-01-15,05:18:39,Car,Red,1999,Uttar Pradesh,NA,No,59,Male,2,2,Windy,Potholes,OFF6484,Commercial,City Traffic Police,Cancelled,Green,44,14,0.02,Negative,No,Yes,Online,No,20,Warning Issued
VLT000088,Red Light Violation,3383,Karnataka,2020-01-15,21:58:49,Truck,Other,2000,Andhra Pradesh,NA,Yes,66,Male,3,8,Clear,Gravel,OFF1574,Commercial,Special Task Force,Expired,Red,110,92,0.02,Negative,No,No,Pending,No,12,Repeat Offender
VLT000089,Overspeeding,3662,Delhi,2020-01-16,03:29:40,Auto-Rickshaw,Yellow,2004,Andhra Pradesh,NA,NA,33,Male,0,8,Windy,Potholes,OFF8494,Permanent,Highway Patrol,Expired,Green,86,77,0.02,Negative,No,Yes,Online,No,15,Repeat Offender
VLT000090,Mobile Phone Usage,4776,Karnataka,2020-01-16,18:07:41,Auto-Rickshaw,Other,2016,Delhi,NA,NA,64,Male,0,1,Rainy,Dry,OFF3578,Commercial,RTO Enforcement,Valid,Red,22,54,0.02,Negative,No,Yes,Online,No,2,Warning Issued
VLT000091,Overloading,3057,Rajasthan,2020-01-16,09:53:27,Pickup,Grey,1994,Uttar Pradesh,NA,Yes,21,Male,3,0,Windy,Wet,OFF7814,Permanent,RTO Enforcement,Valid,Red,95,97,0.0,Not Applied,No,No,Pending,No,6,First Violation
VLT000092,Mobile Phone Usage,4776,Ladakh,2020-01-16,05:13:13,Truck,Yellow,2019,Rajasthan,NA,Yes,75,Male,3,8,Windy,Gravel,OFF9110,Learner,City Traffic Police,Expired,Yellow,32,161,0.0,Not Applied,No,Yes,Online,No,3,Fine Paid On Spot
VLT000093,Mobile Phone Usage,4776,Lakshadweep,2020-01-16,19:31:42,Motorcycle,Green,1992,Madhya Pradesh,Yes,NA,20,Female,1,6,Clear,Potholes,OFF9591,Learner,Special Task Force,Suspended,Green,71,136,0.02,Negative,No,No,Pending,No,1,First Violation
VLT000094,Red Light Violation,3383,Sikkim,2020-01-16,23:38:40,Car,Green,2006,Assam,NA,No,59,Male,2,0,Clear,Dry,OFF2236,Permanent,RTO Enforcement,Valid,Yellow,34,105,0.02,Negative,No,No,Pending,No,20,Repeat Offender
VLT000095,Mobile Phone Usage,4776,Maharashtra,2020-01-16,16:42:49,Truck,Green,2020,Tamil Nadu,NA,Yes,80,Female,3,3,Foggy,Gravel,OFF5795,Permanent,City Traffic Police,Valid,Green,90,83,0.02,Negative,No,No,Pending,No,15,Repeat Offender
